CD44,TOP2A,SAMSN1,RBM47,CORO1A,ZC3HAV1,HLAA,group
8.035916879,7.972575766,7.284447984,6.975126682,8.945926584,6.260403213,11.83103368,1
8.384697634,6.024712282,7.351659407,7.046596481,9.991007936,5.685557031,12.02159381,1
7.94368389,7.131387262,6.822171684,6.882954274,9.216280847,5.962112657,11.5459957,1
6.629558223,6.831427153,5.767492205,6.151367751,7.677270064,4.614903333,10.30470992,0
7.610717643,5.709249051,5.742888203,6.16713899,7.270619787,5.269396374,10.58873559,1
5.880791984,5.518373466,3.616498145,5.053155909,6.062010867,4.776820185,9.483416856,0
7.186124471,5.938503708,6.036444353,6.680527454,8.722231319,6.03122564,13.09177231,1
7.035866919,7.909862763,6.626761265,6.661909141,9.125662841,5.67943749,11.73071098,1
6.284617751,5.485868047,4.630743486,5.382006041,6.379132922,4.695007325,10.53324778,0
5.545579771,6.1678939,3.578711083,4.264777486,6.401786013,4.098037539,10.3379792,0
8.257914431,7.577391027,6.93398178,7.487388832,8.81550318,7.07639118,12.56093781,1
5.632455821,5.656013955,4.53437683,5.265033055,6.449561639,4.318083554,10.30828641,0
5.356061683,4.93730787,4.536805069,5.622966336,6.557534177,4.502528973,9.72112892,0
6.09456176,4.343475754,3.919445763,5.856086593,6.75246529,4.923980478,10.36221087,0
5.85468349,4.916436022,4.336333719,5.428444102,6.799493709,4.333282305,11.29477243,1
6.825002604,5.521393741,5.394094353,5.974613977,7.299283553,4.265011752,11.2674547,0
6.200750514,5.013679981,4.906885097,6.66789037,7.013816039,4.355636533,10.03093496,0
6.723039635,5.174139389,5.041919458,5.581744191,7.153784435,4.737107313,10.66059592,1
7.314422443,5.558167429,5.16317136,5.817340785,7.259582579,4.682707374,11.66822774,1
7.190631981,5.334315108,5.212303374,5.894682389,6.769024575,4.576042946,10.17304629,0
6.9694721,5.901548906,5.167234742,5.743104411,7.629888815,4.713740325,10.44233394,1
8.735882821,6.234363365,7.517211998,7.994248731,9.910739189,6.608151133,11.81786288,1
6.243543913,4.881280417,4.679748502,5.398397476,7.321686448,4.513834099,10.04437705,0
5.171675624,4.589169695,3.409389231,4.722780643,6.180036412,4.824369554,9.741587469,0
6.568803381,5.751465022,4.347341433,5.479517273,6.216012017,4.355778246,10.051641,0
5.993550779,5.003731057,4.88578882,5.876688505,7.287042752,5.048480901,10.76482826,0
7.10843816,5.733011141,6.29494244,6.111065719,8.613719084,5.366242458,11.92014874,1
8.710483773,6.609757795,7.410428354,7.194821548,9.802034503,5.701434066,12.5687507,1
5.515865109,4.420468427,4.218766083,5.203788172,7.033380048,4.127314583,10.51401078,0
8.338149967,6.750429514,7.023279808,7.003043529,9.282522607,5.611457598,12.09149842,1
5.946330176,3.921492376,4.929395465,5.585474797,6.898266421,3.912000096,10.73740722,0
5.47167554,4.565062195,4.348134885,5.40061032,6.523514725,4.404280944,10.94574484,0
8.41587038,6.414938462,7.226797046,7.579156944,8.70977026,5.601473219,12.21879006,1
6.072586988,4.05397832,4.559459417,5.621594486,6.54970004,4.276944869,10.83259569,0
5.11336724,4.269072145,3.847068747,4.817121836,6.378260208,4.106991007,10.42987941,0
8.083697573,6.327564061,7.349164258,7.605460713,7.560176481,5.928532423,12.58813251,1
7.860034316,5.597131169,6.615712658,8.018749282,8.78050666,4.949619527,11.58334163,1
6.673063914,6.960114205,5.415211437,5.834121472,7.193774158,5.470434771,13.01759517,1
8.049809059,7.007040801,7.181505868,7.402105637,8.563019585,5.430110829,12.80553928,1
7.133020739,5.685543626,6.698074637,6.114468495,7.993513619,5.05160996,11.87324931,1
5.33317075,4.25264765,4.01069391,4.786531158,6.246045797,4.019781657,10.3394771,0
5.390659224,4.930305113,4.991487264,5.833617011,6.287625239,4.387383105,10.86443931,0
5.77877858,4.160292005,4.503604543,5.035542765,6.700679057,4.231133856,10.57693642,0
7.217335808,4.634396141,6.332045331,7.062207883,6.90681547,4.701735674,11.18458528,0
5.575245059,5.410450308,4.492679516,5.030529772,6.626580799,4.570879898,11.06590168,0
7.024770522,6.223472851,5.740739546,6.03901078,6.865276018,5.124516915,11.24340143,0
6.205030635,5.426108577,4.480262087,5.250935935,7.424421188,4.275167835,11.48595897,1
7.294311763,6.085707262,6.719289892,6.962048516,8.053491358,5.134721629,11.96129977,1
7.424113849,8.437373179,6.568867601,6.293223157,9.224516931,5.476399912,12.41860974,1
8.017540783,5.660231385,6.819529116,7.114198657,7.871432415,5.59363036,12.09571227,0
8.606546062,7.73357988,7.587629303,7.8491098,9.538771584,6.097789703,13.04365779,1
6.289396715,4.291828178,4.417370851,5.687371386,6.69804425,4.499358668,11.51234516,0
8.616332307,7.004243332,7.935183975,8.10062801,8.893450143,6.31738717,13.00921238,1
4.804996394,4.062107226,4.024953959,5.554811048,6.312825589,4.407094989,11.09123791,0
6.031537416,4.805306339,5.259646018,6.578371245,6.575976751,4.167567318,11.81277013,0
9.14775044,7.235377121,7.624029413,8.266896314,9.021705018,5.76659921,12.81503056,1
6.570998313,6.185312498,5.283237445,6.301624604,7.492910452,4.311501297,11.70161881,0
6.448920692,5.486851846,5.343720863,6.458687524,6.670768869,4.358226212,11.19808586,0
8.530893586,6.717539129,7.587099001,7.747594471,9.207096544,5.827328032,12.85581629,1
7.059547156,6.037526726,6.331994472,6.459809665,8.399822938,5.329889891,12.10983193,1
7.391688135,6.186662482,6.010834333,6.042033569,8.795450052,5.54607347,12.24814771,1
5.424733148,5.822022578,4.527591226,5.551374391,7.1620344,4.732804194,11.11150709,1
9.317455314,9.108251734,8.787045382,8.80443775,10.47837009,7.124486516,13.17890851,1
6.414700798,4.262551998,4.442183425,5.880531057,7.416053625,4.426872197,11.35730233,0
8.915978187,8.674831409,8.498666191,8.788329714,9.680285353,6.699228562,12.83510346,1
6.501406035,6.456695148,6.187338127,6.405127821,7.371983505,4.802208394,11.88535794,0
5.177734127,4.048417007,4.336920461,4.892953126,6.652145478,4.079281655,11.35329157,0
6.995176447,5.471350302,6.560888771,6.821386308,7.686168321,4.619796942,11.1861791,0
5.920378352,4.980788863,5.045298897,5.491511931,6.709857219,4.191348343,11.28993394,0
7.102317389,5.938568861,6.173179416,6.329812894,8.182472775,5.385433391,11.83810713,1
6.359536928,4.611107375,5.20120953,5.996444068,7.439449106,4.780353818,11.53288772,1
6.452704086,4.781504909,5.478893972,6.072298963,7.083907397,4.245337001,11.01193962,0
5.540636891,4.138346151,4.510623263,5.585770688,6.140659575,3.72197767,10.68774303,0
7.420047982,5.487753029,5.758494509,6.507494677,7.988569982,4.70585588,11.89262294,1
7.733075716,7.037969539,6.022244662,6.484180234,7.139341863,4.596919228,11.23884689,0
5.636185498,4.3378563,4.679300696,4.951339637,6.898046422,4.06710323,11.37635492,0
5.596649889,4.042403736,4.425758276,5.404808062,6.584837739,4.362673965,11.57623221,0
5.331089453,4.248218509,4.085719308,5.076630042,6.31477136,4.043930811,10.91732912,0
7.009563197,6.449234754,5.169816576,5.423744837,7.350036968,4.704926194,11.23871478,1
6.632615223,5.818427129,5.854673619,6.156642088,6.846255944,5.04590221,11.62697456,0
9.44019605,6.628725259,9.271807172,8.377455093,8.835200986,6.995787349,12.99377425,0
9.156044698,6.570748586,8.644452837,8.297252907,9.153832466,6.620130377,13.07290534,0
3.964138091,4.518167932,3.97589533,4.406711221,5.957127664,3.850661866,9.067615083,0
6.287173553,4.25895226,4.96392144,5.478183505,7.31225647,4.701764256,11.33757792,0
6.169419027,4.123551358,4.235889391,5.122287937,5.994966788,4.455533646,10.92644448,0
7.350937577,4.854973338,6.243865305,6.408876513,7.59485686,5.05768048,11.70457197,0
7.754372169,6.716924395,6.87115125,7.074773775,7.920097722,5.219094824,12.69524572,1
5.741830635,6.563887791,5.067677287,5.909109642,6.846869615,4.117595091,11.10906198,1
8.427858501,7.9473297,7.752172006,7.991405139,9.286139594,6.217362226,13.1139414,1
7.146555882,6.676149127,5.348563815,5.936357859,7.859046706,5.068747702,12.01292214,0
8.456137809,6.936864753,7.368770158,7.539433689,9.103681495,5.619127571,12.62036098,1
7.531055938,5.353523733,5.698357322,6.28714985,6.816610375,4.552803008,11.40427384,0
6.512772872,6.020137513,6.29047264,6.269046959,6.911449528,4.620495073,12.28153025,0
8.011905619,6.901099455,6.980999258,7.056167956,7.879279622,5.389595914,12.30619325,1
5.751682155,4.75882157,3.878915802,5.168221377,5.697486473,3.817949159,10.84174637,0
6.43347056,4.798941668,4.956156989,5.936258325,7.018708466,4.520213244,11.57160127,1
5.823612713,4.658156424,3.935917667,4.843702442,6.649184907,4.798004055,11.96592996,0
8.488133018,8.269610948,7.701762161,7.891008308,8.795547502,5.59807175,12.71298873,1
6.428896578,4.672645458,5.432099567,5.567395787,7.028849853,4.586661746,11.43321317,0
6.133935034,4.453313287,5.53919666,5.500753846,6.247856488,4.214274272,10.86862821,0
8.525284216,6.757550625,7.927856636,7.473434549,8.642022308,5.606227813,12.57922216,1
5.691804358,4.331728779,4.692558028,5.728808973,5.989828644,4.259086386,10.61647168,0
7.154137244,5.038813851,6.045955062,5.765612358,8.330524507,5.330738964,12.35671466,1
7.621480895,5.739037743,6.813371487,6.699542917,7.601309078,5.663950484,12.37447114,1
5.165486601,4.478225553,4.277945369,5.187901782,6.86007248,3.957119702,10.61743049,0
5.842691282,4.31320246,4.454766137,5.075014759,6.802239039,4.236422961,10.6406348,0
6.944295467,5.091071888,6.089514576,6.117655174,7.038255783,4.694044959,12.06115086,1
6.104368781,5.197347079,4.591127814,5.601769075,6.860511906,4.341360273,11.32823317,1
4.78316712,4.216656471,4.350166844,5.138489347,6.071196827,3.879870077,10.59391509,0
5.433828665,4.421663369,4.596821523,5.162998471,6.264312462,4.480264018,11.03560817,0
7.35095779,6.326231221,7.133821964,7.07740112,8.08702495,5.334426398,12.01950743,1
5.703828318,4.243607396,4.143235775,5.126019048,6.032092543,4.422858274,10.66706416,0
5.777561825,4.867578114,4.992831194,5.562290624,6.544257993,4.183636064,10.97670446,0
5.832188,4.98247584,4.528679446,5.612360204,6.380414303,4.297109057,10.89883392,0
5.181233033,4.207462079,4.578221078,5.410227906,6.314703098,4.347614833,10.81755003,0
6.997262431,6.558564887,5.856582857,5.85207521,6.848664912,4.428793402,10.70267169,0
10.4451224,8.485995143,9.266892759,9.538855741,9.13173464,6.62677163,12.07541127,0
4.988978932,4.137362857,3.590464419,4.939363352,6.258878581,3.783781103,10.80822612,0
6.482754046,4.548181556,5.434617287,5.337945999,6.913532556,4.216468068,10.60333028,0
6.590276669,4.711883572,6.211790219,6.06232622,6.946377611,4.608810466,11.81292444,0
6.369067461,4.416715942,5.527212954,6.006131488,7.271954257,5.363780108,11.61479065,0
8.099679721,8.428910556,6.480455428,6.774904119,6.98893171,4.767445248,10.81045608,0
6.252156919,4.648758349,5.89739674,6.589806087,7.588363285,5.197757615,11.5971573,1
